알려진 이슈 DB,,,,,,,,,,,
장애ID,장애유형,장비/시스템,OS/버전,장애증상,에러 로그 키워드,장애원인,권장조치,조치 우선순위,해결 난이도,예상 조치 시간,참고문서
ST001,스토리지/RAID,HPE DL380 Gen9,모든 OS,파일시스템 오류 발생,ext_ext_check_block: bad header,RAID 컨트롤러 펌웨어 버전 불일치,RAID 컨트롤러 펌웨어 업데이트,High,Easy,1시간,https://access.redhat.com/solutions/5529861
ST002,스토리지/RAID,Dell R740,모든 OS,디스크 I/O 성능 저하,Controller encountered correctable error,캐시 배터리 부족으로 인한 Write-Back 비활성화,캐시 배터리 교체,Medium,Medium,2시간,https://www.dell.com/support/kbdoc/ko-kr/000124349
ST003,스토리지/RAID,모든 서버,모든 OS,RAID 볼륨 디그레이드,Degraded array detected,디스크 물리적 오류 또는 연결 문제,해당 디스크 교체 또는 재장착,High,Medium,2시간,제조사 서버 관리 가이드
ST004,스토리지/RAID,HPE 모든 모델,모든 OS,디스크 오류 발생 빈도 증가,predictive failure count,디스크 수명 임계치 도달,해당 디스크 교체,Medium,Easy,1시간,HPE SSA 가이드
ST005,스토리지/RAID,Dell 모든 모델,모든 OS,갑작스런 RAID 컨트롤러 재시작,Controller reset detected,RAID 컨트롤러 과열 또는 펌웨어 버그,서버 내부 청소 및 펌웨어 업데이트,High,Medium,3시간,Dell OpenManage 가이드
ST006,스토리지/RAID,모든 서버,모든 OS,핫스왑 기능 작동 안함,Failed to detect new drive,드라이브 베이 또는 백플레인 연결 불량,백플레인 재장착 또는 교체,Medium,Hard,4시간,제조사 서버 교체 가이드
ST007,스토리지/RAID,모든 서버,모든 OS,RAID 배터리 학습 사이클,BBU learning cycle,RAID 배터리 정기 재충전 사이클,24시간 이내 자동 완료 대기,Low,Easy,24시간,제조사 RAID 컨트롤러 매뉴얼
ST008,스토리지/RAID,모든 서버,모든 OS,가상 디스크 초기화 느림,Slow initialization progress,대용량 디스크의 정상적 초기화 과정,"초기화 완료까지 대기, 취소 금지",Low,Easy,수 시간-수 일,제조사 RAID 구성 가이드
ST009,스토리지/RAID,모든 서버,모든 OS,RAID 설정 후 부팅 불가,No boot device found,RAID 생성 후 부트 파티션 설정 누락,BIOS에서 부트 순서 재설정,High,Medium,1시간,제조사 RAID 설정 가이드
ST010,스토리지/RAID,HPE DL380 Gen10,모든 OS,스토리지 컨트롤러 미인식,Smart Array Controller not detected,컨트롤러 장착 불량 또는 하드웨어 고장,컨트롤러 재장착 또는 교체,Critical,Medium,2시간,HPE Smart Array 가이드
ST011,스토리지/RAID,Dell R640,모든 OS,RAID 구성 정보 손실,Foreign configuration detected,배터리 방전 또는 컨트롤러 재설정,외부 구성 가져오기 실행,High,Medium,1시간,Dell PERC 가이드
ST012,스토리지/RAID,Lenovo SR650,모든 OS,SSD 읽기 오류 빈도 증가,Media read errors detected,SSD 수명 종료 임박,SSD 교체 및 데이터 마이그레이션,Medium,Medium,3시간,Lenovo SSD 관리 가이드
NW001,네트워크,Dell R740,모든 OS,간헐적 Ping Loss,Network ping fail,OS 또는 네트워크 인프라 이슈,"스위치와 케이블 점검, OS 네트워크 스택 확인",High,Medium,2시간,Dell 네트워크 이슈 가이드
NW002,네트워크,HPE DL380,모든 OS,NIC 링크 다운,Link down detected on NIC port,케이블 불량 또는 스위치 포트 이슈,케이블 교체 및 스위치 포트 점검,High,Easy,1시간,HPE 네트워크 가이드
NW003,네트워크,모든 서버,모든 OS,네트워크 패킷 드롭 증가,Packet drops exceed threshold,NIC 버퍼 오버플로우 또는 드라이버 문제,NIC 드라이버 업데이트 및 MTU 설정 확인,Medium,Medium,2시간,NIC 벤더 기술 문서
NW004,네트워크,모든 서버,모든 OS,NIC 팀/본딩 페일오버 장애,Failover failed on bond interface,NIC 구성 오류 또는 케이블 불량,본딩 구성 재설정 및 물리적 연결 확인,High,Medium,2시간,OS 네트워크 본딩 가이드
NW005,네트워크,모든 서버,Windows,DHCP 주소 획득 실패,DHCP client failed to obtain lease,DHCP 서버 연결 문제 또는 클라이언트 설정 오류,DHCP 서비스 및 클라이언트 설정 확인,Medium,Medium,2시간,Windows 네트워크 트러블슈팅 가이드
NW006,네트워크,모든 서버,Linux,네트워크 인터페이스 불안정,NIC TX/RX errors increasing,NIC 하드웨어 불량 또는 드라이버 호환성 문제,NIC 교체 또는 드라이버 다운그레이드,High,Medium,3시간,Linux 네트워킹 가이드
NW007,네트워크,모든 서버,모든 OS,네트워크 대역폭 저하,Link speed downgraded,자동 협상 실패 또는 케이블 품질 저하,강제 속도/이중화 설정 및 케이블 점검,Medium,Easy,1시간,NIC 매뉴얼
NW008,네트워크,Dell R640,모든 OS,내장 NIC 초기화 실패,Onboard NIC failed POST,펌웨어 또는 하드웨어 결함,시스템 BIOS 및 NIC 펌웨어 업데이트,High,Medium,2시간,Dell iDRAC 가이드
NW009,네트워크,모든 서버,모든 OS,MAC 주소 충돌,Duplicate MAC address detected,하드웨어 클론 또는 가상화 환경 설정 오류,가상 NIC MAC 주소 재설정,High,Medium,1시간,가상화 플랫폼 가이드
NW010,네트워크,HPE 모든 모델,모든 OS,연결은 되나 네트워크 패킷 유실,Network errors in SEL log,NIC 하드웨어 결함,NIC 교체,High,Medium,2시간,HPE 하드웨어 관리 가이드
NW011,네트워크,모든 서버,Linux,네트워크 MTU 불일치,ping: message too long,MTU 설정 불일치,MTU 값을 네트워크에 맞게 조정,Medium,Easy,30분,Linux 네트워크 관리 가이드
NW012,네트워크,모든 서버,모든 OS,멀티캐스트 패킷 라우팅 실패,Multicast traffic not forwarding,스위치 IGMP 스누핑 설정 오류,스위치 IGMP 스누핑 설정 확인 및 조정,Medium,Medium,2시간,스위치 설정 가이드
GPU001,GPU,XL675d GEN10,모든 OS,GPU 메모리 오류 발생,"uncorrectable memory errors, rows were remapped",GPU 메모리 하드웨어 결함,GPU reseat 또는 교체(재매핑 횟수에 따라 결정),High,Medium,3시간,https://docs.nvidia.com/deploy/a100-gpu-mem-error-mgmt/index.html
GPU002,GPU,XL675d GEN10,모든 OS,GPU InfoROM 손상 감지,A corrupt InfoROM has been detected,InfoROM 데이터 영역 손상,GPU 교체,Critical,Medium,3시간,NVIDIA InfoROM 가이드
GPU003,GPU,모든 서버,모든 OS,NVIDIA 드라이버 설치 실패,Failed to initialize NVIDIA kernel module,커널 버전 불일치 또는 서명 문제,커널 헤더 설치 및 보안 부팅 비활성화,High,Medium,2시간,NVIDIA 드라이버 설치 가이드
GPU004,GPU,모든 서버,모든 OS,GPU 감지되지 않음,No NVIDIA GPU devices were found,PCIe 슬롯 연결 불량 또는 GPU 하드웨어 문제,GPU 재장착 또는 PCIe 슬롯 변경,Critical,Medium,2시간,서버 하드웨어 가이드
GPU005,GPU,모든 서버,모든 OS,GPU 온도 상승,GPU temperature exceeds threshold,냉각 불량 또는 팬 고장,"서버 청소, 팬 교체, 워크로드 분산",High,Medium,2시간,GPU 관리 가이드
GPU006,GPU,모든 서버,Linux,CUDA 응용 프로그램 크래시,CUDA application segmentation fault,CUDA 버전과 드라이버 버전 불일치,CUDA 툴킷 버전 업데이트 또는 드라이버 버전 조정,Medium,Medium,2시간,NVIDIA CUDA 설치 가이드
GPU007,GPU,모든 서버,모든 OS,GPU 전원 관리 이슈,GPU power limit exceeded,전원 공급 장치 부족 또는 GPU 과부하,워크로드 조정 또는 전원 공급 장치 업그레이드,High,Hard,4시간,GPU 전원 관리 가이드
GPU008,GPU,모든 서버,모든 OS,다중 GPU 동기화 실패,GPU peer-to-peer access failed,GPU 간 PCIe 링크 문제,PCIe 토폴로지 확인 및 BIOS 설정 최적화,Medium,Hard,3시간,멀티 GPU 설정 가이드
GPU009,GPU,모든 서버,Linux,GPU 계산 모드 활성화 실패,Failed to set compute mode,사용자 권한 또는 드라이버 설정 문제,nvidia-smi 명령으로 모드 설정 및 권한 확인,Low,Easy,1시간,NVIDIA 관리 가이드
GPU010,GPU,모든 서버,모든 OS,GPU 클럭 속도 제한,GPU clocks are limited,열 제한 또는 전원 제한,서버 냉각 개선 및 전원 정책 조정,Medium,Medium,2시간,GPU 클럭 관리 가이드
GPU011,GPU,모든 서버,모든 OS,GPU 지속성 모드 실패,Failed to enable persistence mode,드라이버 문제 또는 권한 제한,드라이버 재설치 및 실행 권한 확인,Low,Easy,1시간,NVIDIA 관리 가이드
GPU012,GPU,모든 서버,모든 OS,GPU-CPU 데이터 전송 병목,PCIe bandwidth bottleneck,PCIe 버전 제한 또는 슬롯 공유,BIOS에서 PCIe 설정 최적화 및 GPU 위치 변경,Medium,Hard,3시간,PCIe 최적화 가이드
IB001,Infiniband,XL675d GEN10,Linux,Infiniband 어댑터 성능 저하,ib_send_bw test 속도 저하,PCIe relax order 및 ibv_wr*API 설정 문제,Ubuntu OS 설정 및 네트워크 설정 확인,High,Medium,3시간,Mellanox Infiniband 가이드
IB002,Infiniband,모든 서버,Linux,Infiniband 링크 다운,IB link down,케이블 연결 문제 또는 포트 불량,케이블 재연결 및 포트 상태 확인,Critical,Medium,2시간,Infiniband 트러블슈팅 가이드
IB003,Infiniband,모든 서버,Linux,Infiniband 초기화 실패,Failed to initialize HCA,드라이버 문제 또는 펌웨어 불일치,Infiniband 드라이버 및 펌웨어 업데이트,Critical,Medium,3시간,Mellanox OFED 가이드
IB004,Infiniband,모든 서버,Linux,SM(Subnet Manager) 마스터 선출 실패,SM not responding,SM 구성 오류 또는 호환성 문제,opensm 설정 확인 및 재시작,High,Medium,2시간,Infiniband 관리 가이드
IB005,Infiniband,모든 서버,Linux,Infiniband 패브릭 파티션 키 오류,Partition key mismatch,파티션 구성 불일치,파티션 키 구성 동기화,High,Medium,2시간,Infiniband 파티션 가이드
IB006,Infiniband,모든 서버,Linux,RDMA 전송 오류 증가,RDMA transport errors,네트워크 혼잡 또는 MTU 설정 오류,MTU 및 버퍼 설정 최적화,Medium,Medium,2시간,RDMA 성능 가이드
IB007,Infiniband,모든 서버,Linux,QP(Queue Pair) 타임아웃,QP timeout exceeded,네트워크 지연 또는 응용 프로그램 문제,네트워크 지연 시간 측정 및 애플리케이션 최적화,Medium,Hard,4시간,Infiniband 성능 튜닝 가이드
IB008,Infiniband,모든 서버,Linux,PKey 테이블 꽉참,PKey table full,너무 많은 파티션 키 생성,불필요한 파티션 제거 및 구성 최적화,Low,Medium,2시간,Infiniband 관리 가이드
IB009,Infiniband,모든 서버,Linux,CQ(Completion Queue) 오버플로우,CQ overrun,워크로드 증가 또는 CQ 크기 부족,CQ 크기 증가 및 응용 프로그램 최적화,Medium,Medium,2시간,RDMA 프로그래밍 가이드
IB010,Infiniband,모든 서버,Linux,SL(Service Level) 매핑 오류,SL to VL mapping error,QoS 구성 오류,SL-VL 매핑 테이블 재구성,Medium,Medium,2시간,Infiniband QoS 가이드
IB011,Infiniband,모든 서버,Linux,FDR/HDR 속도 달성 실패,Link speed downgraded,케이블 품질 또는 포트 호환성 문제,고품질 인증 케이블로 교체,High,Medium,2시간,Infiniband 링크 가이드
IB012,Infiniband,모든 서버,Linux,GUID 충돌,Duplicate GUID detected,하드웨어 GUID 중복 또는 가상화 환경 문제,GUID 수동 재설정 또는 펌웨어 업데이트,High,Medium,2시간,Infiniband 관리 가이드
CPU001,CPU,모든 서버,모든 OS,CPU 온도 경고,CPU temperature above threshold,냉각 시스템 불량 또는 방열판 접촉 불량,"팬 교체, 방열판 재장착, 서버 청소",High,Medium,2시간,제조사 서버 냉각 가이드
CPU002,CPU,모든 서버,모든 OS,CPU 오류 수정 증가,CPU correctable errors increasing,잠재적 CPU 하드웨어 문제,"서버 재부팅 및 지속적 모니터링, 증가 시 CPU 교체",Medium,Hard,4시간,CPU 오류 관리 가이드
CPU003,CPU,모든 서버,모든 OS,CPU 수정 불가능 오류,Machine check exception,CPU 하드웨어 결함,CPU 교체,Critical,Hard,4시간,서버 하드웨어 교체 가이드
CPU004,모든 서버,Intel CPU,모든 OS,CPU 주파수 제한,CPU throttling detected,발열 또는 전력 제한,냉각 시스템 개선 및 전원 관리 설정 확인,High,Medium,2시간,Intel 전원 관리 가이드
CPU005,CPU,모든 서버,모든 OS,CPU 코어 비활성화,CPU core disabled,코어 하드웨어 결함 또는 BIOS 설정,BIOS 설정 확인 및 필요시 CPU 교체,Medium,Medium,3시간,BIOS 구성 가이드
CPU006,CPU,모든 서버,모든 OS,CPU 캐시 오류,CPU L2/L3 cache error,CPU 캐시 메모리 결함,CPU 캐시 비활성화 또는 CPU 교체,High,Hard,4시간,서버 하드웨어 교체 가이드
CPU007,CPU,모든 서버,모든 OS,NUMA 노드 불균형,NUMA node imbalance,워크로드 분배 문제 또는 BIOS 설정 오류,NUMA 인식 애플리케이션 설정 및 BIOS 최적화,Low,Medium,2시간,NUMA 최적화 가이드
CPU008,CPU,AMD CPU,모든 OS,CPU 전압 불안정,CPU voltage fluctuation,전원 공급 장치 불량 또는 VRM 문제,전원 공급 장치 확인 및 VRM 교체,High,Hard,4시간,AMD 전압 관리 가이드
CPU009,CPU,Intel CPU,모든 OS,VT-x/VT-d 기능 실패,Virtualization feature not working,BIOS 설정 오류 또는 CPU 기능 지원 문제,BIOS에서 가상화 기능 활성화,Medium,Easy,1시간,Intel 가상화 가이드
CPU010,CPU,모든 서버,모든 OS,CPU 성능 저하,CPU performance degradation,전력 관리 설정 또는 미세코드 문제,전력 관리 프로필 최적화 및 BIOS 업데이트,Medium,Medium,2시간,CPU 성능 최적화 가이드
CPU011,CPU,모든 서버,Linux,CPU C-State 전환 오류,C-state transition failed,ACPI 문제 또는 BIOS 설정 불일치,커널 매개변수 조정 및 BIOS 설정 확인,Low,Medium,2시간,Linux 전원 관리 가이드
CPU012,CPU,모든 서버,모든 OS,CPU 초기화 실패,CPU initialization failed,CPU 소켓 접촉 불량 또는 하드웨어 결함,CPU 재장착 또는 교체,Critical,Hard,4시간,서버 CPU 교체 가이드
MEM001,메모리,모든 서버,모든 OS,수정 가능 메모리 오류 증가,Correctable memory errors,메모리 모듈 초기 결함 징후,"오류 카운터 모니터링, 지속 시 메모리 교체",Medium,Medium,2시간,메모리 오류 관리 가이드
MEM002,메모리,모든 서버,모든 OS,수정 불가능 메모리 오류,Uncorrectable memory error,메모리 모듈 심각한 결함,식별된 메모리 모듈 교체,Critical,Medium,2시간,서버 메모리 교체 가이드
MEM003,메모리,모든 서버,모든 OS,메모리 초기화 실패,Memory initialization failed,메모리 모듈 비호환성 또는 장착 불량,메모리 호환성 확인 및 재장착,Critical,Medium,2시간,메모리 호환성 가이드
MEM004,메모리,모든 서버,모든 OS,메모리 채널 오류,Memory channel failure,메모리 채널 또는 CPU 메모리 컨트롤러 결함,다른 메모리 채널로 모듈 이동,High,Medium,2시간,메모리 채널 구성 가이드
MEM005,메모리,모든 서버,모든 OS,DIMM 구성 불일치,Invalid memory configuration,"메모리 속도, 용량, 랭크 혼합 문제",메모리 구성 가이드라인 준수하여 재구성,High,Medium,2시간,서버 메모리 구성 가이드
MEM006,메모리,모든 서버,모든 OS,메모리 온도 경고,DIMM temperature threshold exceeded,냉각 문제 또는 워크로드 증가,서버 냉각 개선 및 메모리 액세스 패턴 최적화,High,Medium,2시간,메모리 냉각 가이드
MEM007,메모리,모든 서버,모든 OS,메모리 SPD 데이터 오류,Invalid SPD data,메모리 모듈 EEPROM 손상,해당 메모리 모듈 교체,Medium,Medium,2시간,SPD 데이터 관리 가이드
MEM008,메모리,모든 서버,모든 OS,메모리 성능 저하,Memory performance degradation,메모리 클럭 다운 또는 싱글 채널 동작,메모리 구성 최적화 및 BIOS 설정 조정,Medium,Medium,2시간,메모리 성능 최적화 가이드
MEM009,메모리,모든 서버,모든 OS,NVDIMM 백업 실패,NVDIMM backup operation failed,배터리 부족 또는 NVDIMM 컨트롤러 문제,NVDIMM 배터리 충전 또는 교체,High,Medium,3시간,NVDIMM 관리 가이드
MEM010,메모리,모든 서버,모든 OS,메모리 미러링 실패,Memory mirroring broken,미러링된 메모리 모듈 중 하나 실패,실패한 메모리 모듈 식별 및 교체,High,Medium,2시간,메모리 RAS 기능 가이드
MEM011,메모리,모든 서버,Linux,메모리 누수 감지,Memory leak detected,응용 프로그램 메모리 누수,응용 프로그램 디버깅 및 패치 적용,Medium,Hard,4시간,Linux 메모리 분석 가이드
MEM012,메모리,모든 서버,모든 OS,메모리 스크러빙 오류,Memory scrubbing errors,메모리 데이터 무결성 문제,메모리 진단 테스트 실행 및 문제 모듈 교체,Medium,Medium,3시간,메모리 스크러빙 가이드
PW001,전원 및 냉각,모든 서버,모든 OS,전원 공급 장치 중복성 손실,Redundancy lost,하나의 PSU 고장 또는 전원 케이블 분리,PSU 상태 확인 및 고장 PSU 교체,High,Medium,2시간,서버 전원 관리 가이드
PW002,전원 및 냉각,모든 서버,모든 OS,전원 공급 장치 과열,PSU temperature threshold exceeded,PSU 팬 고장 또는 환경 온도 상승,PSU 팬 확인 및 데이터센터 냉각 점검,High,Medium,2시간,PSU 관리 가이드
PW003,전원 및 냉각,모든 서버,모든 OS,전원 입력 손실,AC power input lost,전원 케이블 분리 또는 PDU 문제,전원 케이블 연결 및 PDU 상태 확인,Critical,Easy,1시간,전원 분배 가이드
PW004,전원 및 냉각,모든 서버,모든 OS,팬 고장,Fan failure detected,팬 베어링 마모 또는 전원 연결 불량,고장 팬 교체,High,Easy,1시간,서버 냉각 가이드
PW005,전원 및 냉각,모든 서버,모든 OS,시스템 과열,System thermal shutdown,냉각 시스템 고장 또는 환경 온도 상승,팬 상태 확인 및 데이터센터 냉각 점검,Critical,Medium,2시간,열 관리 가이드
PW006,전원 및 냉각,모든 서버,모든 OS,VRM 과열,VRM overheating,VRM 냉각 불량 또는 부하 증가,해당 구역 기류 개선 및 워크로드 조정,High,Medium,2시간,VRM 관리 가이드
PW007,전원 및 냉각,모든 서버,모든 OS,전원 소비 임계치 초과,Power consumption exceeded threshold,워크로드 증가 또는 전력 캡 설정 문제,전력 관리 설정 조정 및 워크로드 분산,Medium,Medium,2시간,전력 관리 가이드
PW008,전원 및 냉각,모든 서버,모든 OS,배터리 백업 용량 저하,Battery backup capacity degraded,배터리 노화 또는 충전 주기 소진,배터리 교체,Medium,Easy,1시간,배터리 관리 가이드
PW009,전원 및 냉각,모든 서버,모든 OS,팬 소음 증가,Fan noise increased,먼지 누적 또는 베어링 문제,서버 내부 청소 및 필요시 팬 교체,Low,Easy,1시간,서버 유지보수 가이드
PW010,전원 및 냉각,모든 서버,모든 OS,비정상적 전력 사용량 변동,Abnormal power usage pattern,하드웨어 오작동 또는 워크로드 불규칙성,전력 사용량 모니터링 및 원인 분석,Medium,Hard,4시간,전력 분석 가이드
PW011,전원 및 냉각,모든 서버,모든 OS,전원 이중화 모드 비활성화,Power redundancy disabled in BIOS,BIOS 설정 변경 또는 하드웨어 호환성 문제,BIOS 설정 확인 및 PSU 구성 재설정,Medium,Easy,1시간,전원 이중화 가이드
PW012,전원 및 냉각,모든 서버,모든 OS,PSU 전압 불안정,Power supply voltage fluctuation,전원 품질 문제 또는 PSU 결함,전원 품질 측정 및 PSU 교체,High,Medium,2시간,전압 관리 가이드
WIN001,Windows OS,모든 서버,Windows,블루 스크린 발생,DRIVER_IRQL_NOT_LESS_OR_EQUAL,드라이버 호환성 문제 또는 하드웨어 불량,최근 드라이버 업데이트 롤백 및 메모리 진단,Critical,Medium,3시간,Windows BSOD 트러블슈팅 가이드
WIN002,Windows OS,모든 서버,Windows,이벤트 로그 가득 참,Event log full,로그 순환 비활성화 또는 과도한 오류 발생,로그 분석 및 자동 순환 설정 활성화,Low,Easy,1시간,Windows 이벤트 로그 관리 가이드
WIN003,Windows OS,모든 서버,Windows,디스크 공간 부족,Low disk space,임시 파일 누적 또는 로그 팽창,디스크 정리 및 불필요 파일 제거,High,Medium,2시간,Windows 디스크 관리 가이드
WIN004,Windows OS,모든 서버,Windows,서비스 시작 실패,Service failed to start,종속성 문제 또는 권한 부족,서비스 종속성 확인 및 계정 권한 수정,High,Medium,2시간,Windows 서비스 관리 가이드
WIN005,Windows OS,모든 서버,Windows,시스템 성능 저하,System performance degradation,리소스 경합 또는 백그라운드 프로세스 과부하,리소스 모니터로 원인 식별 및 최적화,Medium,Medium,2시간,Windows 성능 최적화 가이드
WIN006,Windows OS,모든 서버,Windows,윈도우 업데이트 실패,Windows update failed,네트워크 연결 문제 또는 업데이트 호환성 이슈,업데이트 트러블슈팅 도구 실행,Medium,Medium,2시간,Windows 업데이트 가이드
WIN007,Windows OS,모든 서버,Windows,Active Directory 연결 끊김,AD connectivity lost,네트워크 문제 또는 도메인 컨트롤러 문제,네트워크 및 DC 상태 확인,High,Medium,2시간,AD 트러블슈팅 가이드
WIN008,Windows OS,모든 서버,Windows,DNS 해결 실패,DNS resolution failed,DNS 서버 연결 문제 또는 캐시 손상,DNS 설정 확인 및 캐시 플러시,Medium,Easy,1시간,Windows DNS 트러블슈팅 가이드
WIN009,Windows OS,모든 서버,Windows,원격 데스크톱 접속 불가,Remote desktop connection failed,RDP 서비스 중지 또는 방화벽 규칙 문제,RDP 서비스 상태 및 방화벽 구성 확인,High,Medium,2시간,RDP 트러블슈팅 가이드
WIN010,Windows OS,모든 서버,Windows,레지스트리 손상,Registry corruption detected,불안정한 시스템 종료 또는 맬웨어,레지스트리 백업 복원 또는 시스템 복원 지점 사용,High,Medium,3시간,레지스트리 복구 가이드
WIN011,Windows OS,모든 서버,Windows,클러스터 리소스 페일오버 실패,Cluster resource failover failed,네트워크 중단 또는 리소스 종속성 문제,클러스터 로그 분석 및 네트워크 연결 확인,Critical,Hard,4시간,Windows 클러스터 관리 가이드
WIN012,Windows OS,모든 서버,Windows,CHKDSK 실패,CHKDSK failure,파일 시스템 손상 또는 디스크 하드웨어 문제,하드웨어 진단 및 파일 시스템 복구,High,Medium,3시간,CHKDSK 가이드
LNX001,Linux OS,모든 서버,Linux,커널 패닉 발생,Kernel panic,드라이버 충돌 또는 하드웨어 호환성 문제,최근 변경사항 롤백 및 커널 업데이트,Critical,Medium,3시간,Linux 커널 트러블슈팅 가이드
LNX002,Linux OS,모든 서버,Linux,파일 시스템 읽기 전용으로 전환,filesystem mounted read-only,I/O 오류 또는 파일 시스템 불일치,fsck 실행 및 디스크 하드웨어 확인,Critical,Medium,3시간,Linux 파일시스템 복구 가이드
LNX003,Linux OS,모든 서버,Linux,OOM 킬러 활성화,Out of memory: killed process,메모리 부족 또는 메모리 누수,스왑 공간 확인 및 메모리 사용량 분석,High,Medium,2시간,Linux 메모리 관리 가이드
LNX004,Linux OS,모든 서버,Linux,systemd 서비스 실패,Failed to start service,구성 오류 또는 종속성 문제,systemd 로그 분석 및 구성 파일 확인,High,Medium,2시간,systemd 트러블슈팅 가이드
LNX005,Linux OS,모든 서버,Linux,네트워크 인터페이스 소실,Network interface disappeared,드라이버 충돌 또는 NIC 하드웨어 문제,NIC 드라이버 재로드 및 하드웨어 확인,Critical,Medium,2시간,Linux 네트워킹 가이드
LNX006,Linux OS,모든 서버,Linux,SELinux 위반 다수 발생,SELinux is preventing,SELinux 정책 불일치,SELinux 정책 조정 또는 permissive 모드 설정,Medium,Medium,2시간,SELinux 트러블슈팅 가이드
LNX007,Linux OS,모든 서버,Linux,로그 파티션 가득 참,Log partition full,로그 순환 비활성화 또는 과도한 로깅,logrotate 구성 확인 및 불필요 로그 정리,High,Easy,1시간,Linux 로그 관리 가이드
LNX008,Linux OS,모든 서버,Linux,SSH 연결 거부,SSH connection refused,SSH 서비스 중단 또는 방화벽 규칙 문제,SSH 서비스 상태 및 방화벽 구성 확인,High,Medium,2시간,SSH 트러블슈팅 가이드
LNX009,Linux OS,모든 서버,Linux,사용자 계정 잠김,Account locked due to failed attempts,무차별 대입 공격 또는 잘못된 인증 시도,계정 잠금 해제 및 인증 로그 분석,Medium,Easy,1시간,Linux 보안 가이드
LNX010,Linux OS,모든 서버,Linux,RAID 동기화 실패,md: sync failed,디스크 오류 또는 RAID 구성 문제,mdadm 상태 확인 및 디스크 상태 점검,Critical,Medium,3시간,Linux 소프트웨어 RAID 가이드
LNX011,Linux OS,모든 서버,Linux,LVM 볼륨 그룹 비활성화,Volume group not found,메타데이터 손상 또는 디스크 연결 문제,vgscan 실행 및 LVM 메타데이터 복구,High,Medium,3시간,LVM 관리 가이드
LNX012,Linux OS,모든 서버,Linux,cron 작업 실패,cron job failure,스크립트 오류 또는 권한 문제,cron 로그 분석 및 스크립트 권한 확인,Medium,Easy,1시간,Linux cron 관리 가이드
DC001,데이터센터 환경,모든 서버,모든 OS,실내 온도 과열,Room temperature too high,냉각 시스템 고장 또는 용량 부족,데이터센터 냉각 시스템 점검 및 임시 냉각 장치 배치,Critical,Hard,4시간,데이터센터 냉각 관리 가이드
DC002,데이터센터 환경,모든 서버,모든 OS,습도 과다,Humidity too high,습도 조절 장치 고장 또는 물 누수,누수 점검 및 제습기 가동,High,Medium,3시간,데이터센터 환경 관리 가이드
DC003,데이터센터 환경,모든 서버,모든 OS,정전 발생,Power outage,외부 전원 공급 중단 또는 UPS 고장,UPS 가동 및 전원 복구 계획 실행,Critical,Hard,가변적,비상 전원 관리 계획
DC004,데이터센터 환경,모든 서버,모든 OS,화재 경보 활성화,Fire alarm activated,화재 발생 또는 연기 감지기 오작동,화재 확인 및 소방 시스템 점검,Critical,Hard,가변적,화재 대응 프로토콜
DC005,데이터센터 환경,모든 서버,모든 OS,전력 품질 저하,Power quality degradation,전원 노이즈 또는 전압 변동,전원 안정화 장치 점검 및 전원 품질 모니터링,High,Hard,4시간,전력 품질 관리 가이드
DC006,데이터센터 환경,모든 서버,모든 OS,냉각수 누수,Water leak detected,냉각 파이프 파손 또는 연결부 불량,누수 위치 식별 및 응급 조치,Critical,Hard,가변적,누수 대응 프로토콜
DC007,데이터센터 환경,모든 서버,모든 OS,PDU 과부하,PDU overload,서버 전력 소비 증가 또는 PDU 용량 초과,워크로드 재분배 및 PDU 부하 분산,High,Medium,2시간,전력 분배 관리 가이드
DC008,데이터센터 환경,모든 서버,모든 OS,물리적 보안 침해,Security breach detected,무단 접근 또는 보안 시스템 오작동,보안 로그 확인 및 접근 제어 강화,Critical,Medium,2시간,물리적 보안 프로토콜
DC009,데이터센터 환경,모든 서버,모든 OS,배터리 방전 임박,UPS battery low,전원 복구 지연 또는 배터리 노화,중요하지 않은 시스템 종료 및 배터리 교체 계획,Critical,Hard,가변적,UPS 관리 가이드
DC010,데이터센터 환경,모든 서버,모든 OS,공조 시스템 오작동,HVAC system malfunction,팬 고장 또는 제어 시스템 문제,임시 냉각 장치 배치 및 HVAC 수리,Critical,Hard,가변적,공조 시스템 유지보수 가이드
DC011,데이터센터 환경,모든 서버,모든 OS,정전기 방전 위험,ESD risk too high,습도 저하 또는 바닥재 접지 문제,습도 증가 및 접지 시스템 점검,Medium,Medium,3시간,ESD 관리 가이드
DC012,데이터센터 환경,모든 서버,모든 OS,네트워크 케이블 손상,Network cable damage,케이블 포설 문제 또는 물리적 충격,케이블 교체 및 케이블 관리 시스템 개선,High,Medium,2시간,케이블 관리 가이드
